# Khong et al. yeast stress granule transcriptome, Table S2
# Changed #DIV/0! and NS values to NA
#gene_ID	gene_name	avReads(SG)	avReads(Total)	FC(SG/tot)	p-value	SG classification	length	5prime UTR length	ORF length	3primeUTR length	codon optimality	initiation rate	ribosome density	class (Chartron et al. )	t1/2 (Neymotin et al.)	fraction GC content
ORF	gene	avReads.sg	avReads.total	foldchange.sg.total	p.value	sg.classification	length	length.utr5	length.orf	length.utr3	codon.optimality	initiation.rate	ribosome.density	class.chartron	halflife.min	fraction.gc
YKL142W	MRP8	1723.885986	10998.84063	0.156733427	1.81257E-33	depleted	849	51	660	138	0.522727273	0.000197191	1.9589	Cytonuclear	39.3	0.387666667
YCL026C-B	HBN1	198.657338	1988.705374	0.099892795	3.37379E-33	depleted	694	74	582	38	0.664948454	NA	NA	Exception	64.7	0.467
YJL172W	CPS1	5680.846311	33555.57841	0.169296629	1.1282E-32	depleted	1898	26	1731	141	0.57712305	NA	5.9065	TMD	16.8	0.413
YLL024C	SSA2	35296.29729	208222.7299	0.16951222	1.57682E-32	depleted	2057	24	1920	113	0.9	0.000331731	NA	Cytonuclear	NA	0.436333333
YNL134C	YNL134C	5908.940192	33360.69127	0.177122834	3.0321E-32	depleted	1226	67	1131	28	0.586206897	5.46919E-05	1.2626	Cytonuclear	13.6	0.438666667
YGL245W	GUS1	9722.110091	56597.97743	0.171774868	1.54594E-31	depleted	2208	19	2127	62	0.698166432	NA	8.1463	Exception	NA	0.401333333
YDR002W	YRB1	2208.401994	13341.47153	0.165529116	2.37964E-31	depleted	852	60	606	186	0.722772277	8.49332E-05	1.2835	Cytonuclear	60.4	0.411
YAL005C	SSA1	28152.6949	156090.2943	0.180361598	3.65548E-31	depleted	2120	64	1929	127	0.870917574	NA	NA	Cytonuclear	8.1	0.440666667
YHR087W	RTC3	1929.005995	10976.07319	0.175746459	1.57336E-30	depleted	589	68	336	185	0.651785714	NA	NA	Cytonuclear	14.3	0.440333333
YAL012W	CYS3	6662.088318	36773.55978	0.181165173	3.02871E-30	depleted	1352	66	1185	101	0.769620253	NA	NA	Cytonuclear	9.1	0.486666667
YKL150W	MCR1	2104.904263	11937.39386	0.176328626	4.66864E-30	depleted	1163	145	909	109	0.577557756	NA	0.9658	mito	21.8	0.413666667
YPL061W	ALD6	21327.98726	111576.5155	0.191151222	8.67183E-30	depleted	1659	35	1503	121	0.784431138	0.000568622	7.4464	Cytonuclear	NA	0.434333333
YGL191W	COX13	899.1786034	5560.434213	0.161710141	1.134E-29	depleted	698	62	390	246	0.469230769	7.48775E-05	1.3841	Exception	45.9	0.420666667
YML078W	CPR3	1725.883713	10902.30057	0.158304543	1.63841E-29	depleted	699	0	549	150	0.612021858	0.000287289	5.4832	mito	NA	0.417333333
YLR249W	YEF3	72355.8043	378733.0783	0.191046963	5.97331E-29	depleted	3263	42	3135	86	0.874641148	NA	4.2227	Cytonuclear	NA	0.418
YPL106C	SSE1	18545.70364	97027.9771	0.191137692	6.74618E-29	depleted	2242	37	2082	123	0.770893372	0.000119537	7.6373	Cytonuclear	NA	0.413666667
YGL037C	PNC1	5366.323517	27942.97653	0.192045522	9.4317E-29	depleted	822	55	651	116	0.608294931	NA	1.039	Cytonuclear	12.1	0.43
YHR162W	MPC2	2365.657007	12882.30953	0.183636094	1.45055E-28	depleted	674	169	390	115	0.523076923	0.000120464	0.3579	mito	25.7	0.461333333
YFL010C	WWM1	1449.474317	10828.15292	0.133861641	4.38449E-28	depleted	790	15	636	139	0.466981132	0.000284353	3.4595	Exception	18.2	0.5
YBR072W	HSP26	4094.74103	20209.04386	0.202619236	4.78995E-28	depleted	870	60	645	165	0.641860465	0.000296422	1.4558	Cytonuclear	NA	0.425
YBR039W	ATP3	2543.660303	13624.76517	0.186693882	5.53302E-28	depleted	1208	92	936	180	0.653846154	0.000201832	3.1652	mito	20.6	0.391333333
YJR104C	SOD1	10370.07133	52893.47332	0.196055783	7.48257E-28	depleted	542	29	465	48	0.729032258	0.000138745	3.0318	Cytonuclear	NA	0.501333333
YBR035C	PDX3	1084.542473	6637.727103	0.163390639	9.18789E-28	depleted	803	17	687	99	0.593886463	0.000436527	1.7854	Cytonuclear	34.1	0.433666667
YER026C	CHO1	1137.004654	11402.36423	0.09971657	1.00259E-27	depleted	1003	67	831	105	0.494584838	8.38578E-05	0.75	TMD	17.1	0.398333333
YDR148C	KGD2	1764.603778	9476.093318	0.186216378	1.07086E-27	depleted	1724	204	1392	128	0.594827586	NA	3.8858	mito	13.3	0.430333333
YHR049W	FSH1	566.5605994	3613.624606	0.156784575	9.15478E-27	depleted	892	29	732	131	0.68852459	9.56731E-05	1.1148	Cytonuclear	16.1	0.411333333
YJL026W	RNR2	4908.864688	24595.71614	0.1995821	1.04718E-26	depleted	1379	42	1200	137	0.7625	4.16136E-05	3.9056	Exception	30.2	0.426666667
YCR012W	PGK1	15158.58779	263606.4808	0.05750461	1.1221E-26	depleted	1460	42	1251	167	0.920863309	8.28448E-05	4.1104	Cytonuclear	NA	0.460333333
YPR028W	YOP1	2577.251352	13122.85745	0.196394067	3.05453E-26	depleted	872	56	676	140	0.61878453	0.000109896	2.1484	TMD	51.2	0.374
YLR109W	AHP1	24720.1906	130475.0407	0.189462984	3.46976E-26	depleted	630	29	531	70	0.779661017	NA	NA	Cytonuclear	NA	0.448333333
YIL076W	SEC28	1525.237999	8159.159552	0.186935675	4.74855E-26	depleted	1067	11	891	165	0.531986532	1.58577E-05	0.811	Cytonuclear	36.6	0.376
YKL216W	URA1	4675.376636	23683.05763	0.197414401	1.62417E-25	depleted	1216	30	945	241	0.552380952	NA	1.3678	Cytonuclear	26	0.386
YJL151C	SNA3	2107.904036	10509.71937	0.20056711	1.67566E-25	depleted	471	24	402	45	0.52238806	NA	1.4564	Exception	23.9	0.487333333
YPL111W	CAR1	1192.906321	6155.926134	0.19378178	1.78053E-25	depleted	1143	47	1002	94	0.571856287	4.11948E-05	2.7577	Cytonuclear	8.7	0.475
YER003C	PMI40	2457.760978	19247.36775	0.127693356	2.58157E-25	depleted	1468	29	1383	56	0.581395349	NA	4.9615	Cytonuclear	34.3	0.407
YGL055W	OLE1	7967.186183	36506.64863	0.21823932	3.1645E-25	depleted	1852	94	1533	225	0.755381605	NA	1.1223	TMD	35.5	0.411333333
YDR158W	HOM2	5756.449035	27524.23552	0.209141105	4.54428E-25	depleted	1244	22	1098	124	0.737704918	NA	1.5029	Exception	42.8	0.431666667
YLL018C	DPS1	7223.532696	32712.02866	0.220821911	1.20832E-24	depleted	1831	27	1674	130	0.704301075	0.000373351	9.4144	Cytonuclear	17.4	0.443
YGR295C	COS6	1788.445976	8685.625954	0.205908703	1.5011E-24	depleted	1146	0	1146	0	0.416230366	NA	NA	TMD	21.6	0.387333333
YGR254W	ENO1	15866.5432	177939.9974	0.089167941	2.42066E-24	depleted	1505	39	1314	152	0.922374429	0.000284939	NA	Cytonuclear	NA	0.461666667
YJL159W	HSP150	27510.04502	122906.5822	0.223828899	2.82656E-24	depleted	1601	55	1242	304	0.857487923	0.00044023	NA	SS	NA	0.488
YOR276W	CAF20	1844.127977	12479.65126	0.147770794	2.83072E-24	depleted	620	41	486	93	0.654320988	NA	1.8	Cytonuclear	36.5	0.399333333
YGR008C	STF2	1820.599759	8651.020774	0.210449126	4.35446E-24	depleted	464	72	255	137	0.635294118	0.000101947	1.2702	Cytonuclear	18.6	0.423666667
YIL053W	GPP1	9175.04819	41604.45143	0.220530445	5.38905E-24	depleted	931	18	753	160	0.824701195	NA	3.0371	Cytonuclear	10.6	0.441
YBR088C	POL30	1138.992842	5806.108767	0.196171461	6.77354E-24	depleted	805	0	777	28	0.563706564	0.000191443	2.0704	Cytonuclear	25.5	0.383666667
YOR184W	SER1	2758.198947	12983.71667	0.212435238	9.13934E-24	depleted	1286	0	1188	98	0.588383838	7.73352E-05	NA	Cytonuclear	30.9	0.406333333
YMR062C	ARG7	1825.737883	8428.73222	0.216608837	1.24013E-23	depleted	1411	24	1326	61	0.502262443	5.99052E-05	1.214	mito	16.8	0.402666667
YJR048W	CYC1	484.4027895	2886.404708	0.1678222	1.61979E-23	depleted	1272	50	330	892	0.663636364	0.000176865	5.9878	Cytonuclear	22.8	0.424333333
YMR173W-A	YMR173W-A	519.243785	2870.933753	0.180862336	2.00066E-23	depleted	1197	0	1185	12	NA	5.55738E-05	NA	NA	21.4	NA
YNL160W	YGP1	8270.220586	36061.58926	0.229335999	2.08766E-23	depleted	1327	56	1065	206	0.774647887	0.000211426	1.1648	SS	9.8	0.427333333
YKL152C	GPM1	15521.13123	281160.1389	0.055203882	3.23332E-23	depleted	872	11	744	117	0.89516129	NA	2.4131	Cytonuclear	NA	0.446333333
YGR207C	CIR1	816.7290382	4213.029504	0.193857897	3.79896E-23	depleted	897	26	786	85	0.519083969	0.000139883	1.1722	mito	23.5	0.379
YBR191W-A	YBR191W-A	141.2574957	1818.362641	0.077683897	4.51093E-23	depleted	105	0	75	30	NA	NA	NA	NA	49.9	NA
YLR327C	TMA10	4688.715984	19529.20829	0.240087356	8.89166E-23	depleted	477	69	261	147	0.563218391	4.94133E-05	NA	Cytonuclear	13.5	0.448333333
YPR035W	GLN1	8766.169795	36860.46758	0.237820363	9.56667E-23	depleted	1327	118	1113	96	0.773584906	8.56604E-05	0.957	Cytonuclear	8.8	0.444666667
YGL231C	EMC4	815.2330409	4139.609227	0.196934782	1.12307E-22	depleted	630	18	573	39	0.439790576	0.000586367	0.9212	Exception	20.7	0.377
YCL028W	RNQ1	2838.548231	12740.05576	0.222805008	1.15876E-22	depleted	1292	23	1218	51	0.556650246	0.000494941	4.743	Cytonuclear	12.6	0.453666667
YEL002C	WBP1	3065.518586	13727.03898	0.223319726	1.16865E-22	depleted	1467	53	1293	121	0.487238979	0.000230058	2.1535	SSTMD	30.8	0.385333333
YNL138W	SRV2	4753.251466	23011.35733	0.206561108	1.63435E-22	depleted	1761	26	1581	154	0.548387097	NA	NA	Cytonuclear	14	0.410666667
YJR009C	TDH2	19877.57608	182111.2993	0.109150702	2.31529E-22	depleted	1129	33	999	97	0.933933934	0.000120083	NA	Exception	NA	0.469333333
YPR103W	PRE2	1837.707279	8317.755764	0.220937874	2.31611E-22	depleted	1019	95	864	60	0.548611111	0.000541037	0.8286	Cytonuclear	12.9	0.422666667
YER042W	MXR1	815.6637807	4025.09244	0.202644732	2.73757E-22	depleted	807	88	555	164	0.437837838	0.000474899	2.5388	Cytonuclear	65.7	0.364
YCL035C	GRX1	3202.314635	13692.30166	0.233877015	4.87817E-22	depleted	469	44	333	92	0.567567568	4.8514E-05	2.8222	Cytonuclear	35.1	0.417
YDR304C	CPR5	3106.084179	15968.73733	0.194510318	5.45814E-22	depleted	767	42	678	47	0.60619469	5.49603E-05	1.1545	SS	49.8	0.423
YNL135C	FPR1	2956.096685	17577.03205	0.168179513	1.05998E-21	depleted	562	19	345	198	0.782608696	7.07298E-05	2.3944	Cytonuclear	30.1	0.461
YNL067W	RPL9B	3709.661546	18496.24145	0.200562993	1.09011E-21	depleted	777	23	576	178	0.890625	NA	NA	Cytonuclear	41.2	0.411333333
YDR368W	YPR1	1462.232839	8647.52545	0.169092632	1.1681E-21	depleted	1174	71	939	164	0.584664537	5.07668E-05	1.5096	Cytonuclear	15.2	0.401333333
YBR183W	YPC1	635.608839	3159.694622	0.201161478	1.45427E-21	depleted	1268	216	951	101	0.438485804	NA	0.2388	TMD	12	0.41
YGR285C	ZUO1	4170.013967	35236.62137	0.118343184	1.75859E-21	depleted	1361	14	1302	45	0.758064516	NA	5.6794	Cytonuclear	17.3	0.442333333
YPL154C	PEP4	11869.61839	48141.91089	0.246554783	2.07097E-21	depleted	1536	246	1218	72	0.660098522	NA	3.6872	SS	NA	0.426
YLR216C	CPR6	4223.280049	17237.00915	0.245012346	3.18178E-21	depleted	1180	33	1116	31	0.569892473	0.000140103	2.8097	Cytonuclear	12.1	0.382
YOL109W	ZEO1	5516.19601	36493.64268	0.151154985	4.07804E-21	depleted	537	39	342	156	0.833333333	0.000125027	2.7426	Cytonuclear	38.5	0.412333333
YKL016C	ATP7	2484.981249	10662.20324	0.233064517	4.25136E-21	depleted	663	67	525	71	0.548571429	3.59705E-05	2.1027	mito	29.2	0.4
YGR192C	TDH3	98859.75272	1029599.856	0.096017644	9.56864E-21	depleted	1129	41	999	89	0.942942943	NA	NA	Exception	NA	0.470333333
YMR215W	GAS3	2134.416323	9121.19847	0.234006127	1.0568E-20	depleted	1724	20	1575	129	0.544761905	0.000139272	2.834	SS	13.3	0.398
YFL031W	HAC1	14569.14503	59088.67422	0.246564087	1.18805E-20	depleted	1453	68	969	416	0.430962343	0.000238108	0.0613	Cytonuclear	NA	0.471333333
YOL143C	RIB4	2771.636132	12310.50511	0.225143981	1.31618E-20	depleted	608	48	510	50	0.547058824	NA	1.496	Cytonuclear	40.6	0.431
YDL100C	GET3	3666.565087	21560.30543	0.170060907	2.00296E-20	depleted	1147	25	1065	57	0.605633803	8.55313E-05	1.2429	Cytonuclear	23.4	0.397333333
YGR080W	TWF1	915.4807251	4232.479777	0.216298901	2.12618E-20	depleted	1077	6	999	72	0.456456456	0.000282155	1.4523	Cytonuclear	10.1	0.413
YJR139C	HOM6	6409.36106	25924.57707	0.247231075	2.229E-20	depleted	1208	87	1080	41	0.733333333	2.07701E-06	1.138	Exception	NA	0.401666667
YGR234W	YHB1	4602.924196	18053.10149	0.254965841	2.32567E-20	depleted	1491	21	1200	270	0.5925	0.000101462	1.6114	Cytonuclear	21.8	0.398333333
YOR164C	GET4	1179.987522	5726.470159	0.206058442	2.58338E-20	depleted	1074	23	939	112	0.463258786	NA	0.7859	Cytonuclear	61	0.351333333
YHR174W	ENO2	40687.43429	527525.9549	0.077128782	3.81496E-20	depleted	1555	122	1314	119	0.929223744	NA	NA	Cytonuclear	NA	0.475666667
YCL033C	MXR2	343.8627585	1891.131972	0.181829065	5.41408E-20	depleted	585	25	507	53	0.485207101	NA	1.159	Cytonuclear	27.9	0.487333333
YDR032C	PST2	3400.797002	13608.10575	0.249909654	5.64211E-20	depleted	784	56	597	131	0.713567839	NA	1.4796	Exception	77.6	0.467333333
YJL133C-A	YJL133C-A	521.8498199	2523.253948	0.206816211	9.11025E-20	depleted	427	58	225	144	0.666666667	NA	1.3235	Exception	17.7	0.52
YHL021C	AIM17	4278.565274	16039.84243	0.266746091	9.19399E-20	depleted	1497	38	1398	61	0.489270386	5.50448E-05	1.272	mito	8.8	0.404333333
YGR155W	CYS4	11981.26032	45637.76548	0.262529512	9.91559E-20	depleted	1681	24	1524	133	0.653543307	5.95647E-05	2.6287	Cytonuclear	9.8	0.403333333
YMR002W	MIX17	2864.125421	11416.75029	0.250870462	1.00111E-19	depleted	773	62	471	240	0.573248408	4.28756E-05	1.6566	Exception	16.1	0.497
YPL262W	FUM1	4705.576087	19878.54225	0.236716356	1.01908E-19	depleted	1556	44	1467	45	0.611451943	0.000193558	2.8635	mito	21.4	0.438666667
YKR046C	PET10	1085.741709	4538.124694	0.239248981	1.24557E-19	depleted	1040	0	852	188	0.626760563	0.000183041	1.0356	Cytonuclear	13.6	0.481333333
YHR052W	CIC1	618.9671917	3206.216441	0.193052217	1.40554E-19	depleted	1291	27	1131	133	0.551724138	NA	0.8205	Cytonuclear	22.4	0.351
YLL039C	UBI4	5035.800823	18703.31932	0.269246369	1.75376E-19	depleted	1353	99	1146	108	0.685863874	0.000186574	NA	Cytonuclear	15.7	0.414666667
YNR034W-A	YNR034W-A	945.268627	3935.624989	0.240182596	3.857E-19	depleted	447	47	297	103	0.505050505	NA	NA	Cytonuclear	42	0.417666667
YLR075W	RPL10	10189.0823	122748.8358	0.083007568	5.5583E-19	depleted	814	28	666	120	0.905405405	NA	1.3445	Cytonuclear	NA	0.441333333
YOL139C	CDC33	4582.285816	20987.83281	0.218330585	8.19059E-19	depleted	797	63	642	92	0.630841121	8.90194E-05	1.2038	Cytonuclear	33.4	0.399
YPR098C	YPR098C	708.5233399	3119.316198	0.227140596	1.02004E-18	depleted	624	21	582	21	0.5	0.000609302	0.8739	mito	NA	0.391
YMR186W	HSC82	41899.44415	155216.0585	0.269942715	1.04527E-18	depleted	2234	23	2118	93	0.78611898	8.00432E-05	NA	Cytonuclear	NA	0.385333333
YGL087C	MMS2	952.3396626	4026.047833	0.236544547	1.23542E-18	depleted	630	48	499	83	0.536231884	7.95399E-05	3.0747	Cytonuclear	24.1	0.410666667
YGR284C	ERV29	1541.114266	6214.640268	0.247981251	1.32341E-18	depleted	1137	42	933	162	0.553054662	0.000137093	1.2255	Exception	53.9	0.368666667
YLL050C	COF1	3146.138189	22189.65458	0.141784009	1.32439E-18	depleted	726	13	611	102	0.743055556	0.000127194	1.5278	Cytonuclear	NA	0.398333333
YOR122C	PFY1	4110.289096	16047.59707	0.256131125	1.40032E-18	depleted	791	37	590	164	0.74015748	NA	1.4661	Cytonuclear	29.2	0.435666667
YOR375C	GDH1	9506.01492	34382.42442	0.276478901	1.69432E-18	depleted	1503	57	1365	81	0.830769231	0.000190507	1.416	Cytonuclear	14.2	0.447
YMR116C	ASC1	8351.89304	87541.51241	0.095404943	2.33401E-18	depleted	1395	30	1233	132	0.8625	0.000138921	0.8891	Cytonuclear	NA	0.457
YER057C	HMF1	1307.365175	7800.769225	0.167594392	2.45571E-18	depleted	479	29	390	60	0.646153846	9.54623E-05	3.0247	Exception	155.7	0.433333333
YBR109C	CMD1	1559.22131	7617.298836	0.20469478	2.48458E-18	depleted	644	29	444	171	0.52027027	0.000142495	3.7199	Cytonuclear	40.8	0.39
YDR533C	HSP31	2042.35302	7663.038502	0.26652	2.55014E-18	depleted	821	58	714	49	0.537815126	8.06704E-05	0.5953	Cytonuclear	55.8	0.407666667
YLR270W	DCS1	2610.790636	9756.930977	0.267583182	3.00899E-18	depleted	1255	0	1053	202	0.564102564	9.51212E-05	3.8646	Cytonuclear	19.3	0.384666667
YBL064C	PRX1	2536.288416	9495.179031	0.26711328	3.3093E-18	depleted	868	33	786	49	0.545801527	3.5459E-05	1.9833	mito	19.8	0.417333333
YCR073W-A	SOL2	917.9181495	3840.851744	0.238988175	4.16093E-18	depleted	1077	15	948	114	0.471518987	7.40038E-05	2.9813	Cytonuclear	14.3	0.494666667
YMR298W	LIP1	1048.420602	4934.183641	0.212481067	4.37428E-18	depleted	592	23	453	116	0.549668874	8.86362E-05	2.9265	TMD	57.5	0.406333333
YLR340W	RPP0	16389.42084	136943.3766	0.119680274	5.55975E-18	depleted	1087	62	939	86	0.900958466	0.000451875	8.7359	Cytonuclear	NA	0.446
YGR043C	NQM1	1817.011454	7920.780996	0.229398017	5.98854E-18	depleted	1291	148	1002	141	0.497005988	0.000319081	NA	Cytonuclear	25.8	0.405
YDL103C	QRI1	1286.258434	5126.70356	0.250893858	6.03391E-18	depleted	1583	57	1434	92	0.50209205	0.000100825	1.8109	Cytonuclear	11.2	0.402333333
YOR063W	RPL3	18756.81798	162902.1551	0.11514162	6.85006E-18	depleted	1308	24	1164	120	0.896907216	0.000319972	2.1943	Cytonuclear	NA	0.450333333
YMR184W	ADD37	406.6754079	1928.077785	0.210922719	8.34986E-18	depleted	702	35	597	70	0.467336683	7.49433E-05	0.8677	Cytonuclear	61.7	0.398666667
YFL048C	EMP47	1800.52753	7018.967923	0.256523117	8.47533E-18	depleted	1448	17	1338	93	0.479820628	NA	0.7035	SSTMD	16.9	0.383333333
YGL001C	ERG26	1496.738293	5765.499166	0.259602551	1.0632E-17	depleted	1207	57	1050	100	0.508571429	NA	0.6902	Cytonuclear	87.3	0.396333333
YPR036W	VMA13	5110.556233	27613.10273	0.185077218	1.0632E-17	depleted	1565	43	1437	85	0.582463466	NA	1.3101	Cytonuclear	18.7	0.446333333
YOR323C	PRO2	3525.682303	13155.30526	0.268004598	1.07277E-17	depleted	1434	18	1371	45	0.575492341	NA	3.3165	Cytonuclear	28	0.414333333
YLR178C	TFS1	1731.374281	10814.91752	0.160091307	1.14319E-17	depleted	792	52	660	80	0.495454545	0.000360467	0.8827	Cytonuclear	16.1	0.478666667
YBR191W	RPL21A	6972.896448	69769.57509	0.099941793	1.28359E-17	depleted	898	0	871	27	0.869565217	NA	NA	Cytonuclear	NA	0.418333333
YDR298C	ATP5	1987.390864	7664.975112	0.259282103	1.49184E-17	depleted	928	133	639	156	0.577464789	3.90593E-05	1.7452	mito	60.7	0.406666667
Q0045	COX1	1132.391144	6711.727772	0.168718277	1.57E-17	depleted	12993	0	12884	109	0.377570093	0	0	mito	101.8	NA
YNL336W	COS1	506.306476	2265.915871	0.223444516	1.87328E-17	depleted	1146	0	1146	0	0.434554974	0.000108116	NA	TMD	10.8	0.378666667
YGL232W	TAN1	976.8143909	3905.946667	0.250083904	1.99429E-17	depleted	1028	27	928	73	0.468965517	0.000330321	0.9279	Cytonuclear	76.8	0.352666667
YNL175C	NOP13	782.1565078	4224.22283	0.18515986	2.92739E-17	depleted	1302	0	1212	90	0.534653465	6.03776E-05	1.5289	Cytonuclear	11.2	0.395
YOR298C-A	MBF1	5997.534772	23533.71182	0.254848654	3.03124E-17	depleted	709	50	456	203	0.657894737	NA	2.1191	Cytonuclear	9.6	0.463
YFL018C	LPD1	6045.447252	21500.45714	0.281177615	3.66497E-17	depleted	1652	93	1500	59	0.616	6.46429E-05	3.8588	mito	16.1	0.422666667
YJL034W	KAR2	12988.62344	45144.32653	0.287713306	3.74622E-17	depleted	2286	39	2049	198	0.715959004	0.000314705	4.0699	TMD	NA	0.406333333
YDR050C	TPI1	12511.31817	124877.3267	0.100188869	4.80204E-17	depleted	834	31	747	56	0.895582329	NA	2.2675	Cytonuclear	NA	0.443333333
YDR225W	HTA1	3661.753383	12919.39134	0.283430797	4.92839E-17	depleted	617	62	399	156	0.842105263	7.73232E-05	NA	Cytonuclear	33.5	0.428666667
YKR066C	CCP1	4100.222936	14700.98161	0.278908106	4.92839E-17	depleted	1210	20	1086	104	0.546961326	0.000163261	1.4543	mito	15	0.481333333
YMR099C	YMR099C	2823.873721	12925.85083	0.218467145	5.38711E-17	depleted	985	24	894	67	0.587248322	5.88486E-05	1.2799	Cytonuclear	53.5	0.386
YDR453C	TSA2	1299.581332	4806.895292	0.270357737	5.55745E-17	depleted	716	59	591	66	0.604060914	NA	NA	Cytonuclear	28.8	0.416
YOL097C	WRS1	2895.69478	10468.64683	0.276606407	5.85068E-17	depleted	1438	26	1299	113	0.602771363	4.51958E-05	1.1198	Cytonuclear	13.3	0.413
YOR374W	ALD4	4572.726274	15378.68109	0.297341901	7.35563E-17	depleted	1825	39	1560	226	0.648076923	0.000196239	4.6253	mito	9.3	0.444
YDR098C	GRX3	1495.174191	5618.32955	0.266124331	7.80271E-17	depleted	884	0	858	26	0.501992032	4.35366E-05	1.654	Cytonuclear	44.5	0.394
YDR023W	SES1	9506.211027	33159.61508	0.286680379	8.58987E-17	depleted	1568	21	1389	158	0.667386609	0.000100468	2.2622	Cytonuclear	29.6	0.379333333
YGR180C	RNR4	8378.525779	34432.35558	0.243332924	9.67956E-17	depleted	1314	194	1038	82	0.73699422	3.99068E-05	2.886	Cytonuclear	21.4	0.410333333
YPL079W	RPL21B	5665.635214	42151.22006	0.134412129	9.70212E-17	depleted	1037	27	904	106	0.888198758	NA	NA	Cytonuclear	52.5	0.430666667
YEL017C-A	PMP2	898.7345379	3456.688255	0.259998725	1.01437E-16	depleted	609	30	132	447	0.727272727	3.52448E-05	3.878	TA	85.5	0.371333333
YKL085W	MDH1	3692.969054	12934.81032	0.28550624	1.08538E-16	depleted	1511	116	1005	390	0.671641791	6.04555E-05	1.6611	mito	13.8	0.453
YNL071W	LAT1	8182.796857	28254.77143	0.289607611	1.15991E-16	depleted	1639	33	1449	157	0.627329193	0.000534144	4.408	mito	16.4	0.454
YKL008C	LAC1	1185.745212	5502.2956	0.215500093	1.31411E-16	depleted	1464	72	1257	135	0.513126492	0.000124386	0.622	TMD	18	0.370666667
YHR122W	CIA2	420.3265278	1889.927327	0.22240354	1.39191E-16	depleted	897	54	696	147	0.469827586	NA	0.5409	Cytonuclear	35.7	0.413666667
YHR064C	SSZ1	12338.82118	42344.85885	0.291388884	1.42165E-16	depleted	1720	31	1617	72	0.747680891	0.000115899	2.415	Cytonuclear	28.5	0.414333333
YLR209C	PNP1	718.055928	2845.601606	0.252338882	1.44136E-16	depleted	1019	20	936	63	0.467948718	0.000214023	1.8251	Cytonuclear	22.4	0.425333333
YML004C	GLO1	4642.589772	15841.2569	0.293069534	1.57104E-16	depleted	1169	85	981	103	0.501529052	0.000247006	1.0528	Cytonuclear	18	0.406666667
